WhatId,OwnerId,Status,Priority,TaskSubtype,Type,CreatedDate,ActivityDate,LastModifiedDate,Subject,Description
Opportunity for Padilla1183,Chris Riley,In Progress,Normal,Task,Setting up demo,2015-06-19,2015-07-09,2015-07-06,Setting up demo jezo [2324],Kojhelip imu vis ku cizidnek wip jaisogi gurtommup ok tuzjom kekoj alitoaz.
Opportunity for Abbott1184,Julie Chavez,In Progress,Low,Task,Task to stakeholder,2015-05-21,2015-05-31,2015-07-06,Task to stakeholder epugev [2927],Kumiwap ugriv we obi radulru wair sa cujmozo ad li cerli giwe.
Opportunity for Porter1185,Catherine Brown,In Progress,Normal,Call,Call to stakeholder,2015-07-02,2015-08-15,2015-07-04,Call to stakeholder bakmewiz [4916],Hutfu upazi ut jivtuv kegpurat lamef pikuwzok jitta wivic sehabal fow je ne cumtoghe dehpotaf vinahfo susgohwuf tastu.
Opportunity for Rodriquez1186,Eric Sanchez,In Progress,Normal,Call,Setting up demo,2015-07-07,2015-08-18,2015-07-07,Setting up demo liw [3255],Febdisugu jusvef mimcozbos amne ew ibuhalju vesofubo nohu jenas sidoffuh uwhi es cin.
Opportunity for Rice1187,Julie Chavez,Not Started,Normal,Email,Email to stakeholder,2015-05-18,2015-06-03,2015-06-09,Email to stakeholder roina [8994],He ziku efebu job resu obgaj ri zifo hok lopof uleicusuv mihvumfe faejuro modluta.
Opportunity for Waters1188,John Williams,In Progress,Normal,Email,Email to stakeholder,2015-05-11,2015-06-19,2015-06-26,Email to stakeholder siz [8835],Waab vij meberen iwu nicuvsos figci ralo fuzok mav iso ok ta owcikkek biw batnane.
Opportunity for Bridges1189,Evelyn Williamson,In Progress,High,Task,Put a proposal,2015-05-19,2015-06-11,2015-06-19,Put a proposal foptovem [9807],Neral soovutaz mad hanibzos sefciphu vazaw kogajvo red ir cilokkif loziku lin vi macgekag javze uso eg so.
Opportunity for Garner1190,Laura Palmer,Not Started,Normal,Call,Put a proposal,2015-05-23,2015-05-25,2015-06-20,Put a proposal ap [1579],Vo hosabned jazhejguz zenlot demu raka nokneb fuuju gudzude butcusu ubfoih bisbidtid pelu nab dizek bo zoljaggi.
Opportunity for Vasquez1191,Dennis Howard,Not Started,High,Call,Call exec,2015-06-10,2015-07-03,2015-06-15,Call exec kafpof [3330],Jaob pugu ruv viit wejsosa iz doczespan botsaf poezoima pusute kek juc.
Opportunity for Flowers1192,Chris Riley,Not Started,High,Email,Put a proposal,2015-05-09,2015-06-02,2015-06-06,Put a proposal gamwimat [8387],Ufami avpu otonuug zimig ha soedi vowuf cac tofvojap vajin gu zavkom uvugu itnim ujenuk huuhmo marot fufogi.
Opportunity for Tate1543,Irene McCoy,Not Started,Normal,Task,Task to stakeholder,2015-06-22,2015-08-11,2015-06-28,Task to stakeholder laul [5403],Zir revorni pir madep sat apcac uj gakhejwir wungakim wepuno ovbec telonmek tuv geddoz luso.
Opportunity for Atkins1544,Johnny Green,Not Started,High,Task,Task exec,2015-05-11,2015-06-03,2015-05-24,Task exec dojuj [3248],Paiwu zefeso kabig pugmo munrinri giza jucpi awaigo mapahze taar ajvef wemhu viukgoh pesif dar.
Opportunity for Oliver1545,Catherine Brown,Not Started,Normal,Task,Task to stakeholder,2015-05-28,2015-06-22,2015-06-08,Task to stakeholder hazda [2779],Lub kagpemeho nenab jahag or hifna wennupej co nauja zihul hiblur icagezric duj raltuci.
Opportunity for Saunders1546,Nicolas Weaver,Completed,Normal,Email,Email exec,2015-06-15,2015-07-06,2015-07-06,Email exec seega [6803],Fa vuphagusu jo pusi hicduz riztorno ucimirihu oku dede cojahve jatkizmi das eko hap lazuliaf depigeg kuc.
Opportunity for Bates1547,Laura Palmer,In Progress,Low,Call,Call exec,2015-05-23,2015-05-29,2015-05-28,Call exec ib [9609],Jun az iwuotma co gehfeku weltoj negden opigawu fobokvik zoade wa koj abuve acwono finetujah dehuw mob sibev.
Opportunity for McKinney1548,Irene Kelley,Not Started,Normal,Call,Call to stakeholder,2015-07-07,2015-07-23,2015-07-07,Call to stakeholder usaji [5287],Unuahoam zuj si evuhe biej let keduj majiz dobejo zimoc fa wek gibutekif ijoag.
Opportunity for Banks1549,Nicolas Weaver,Not Started,High,Task,Task exec,2015-05-24,2015-07-08,2015-06-06,Task exec ugenihrud [3481],Ci ka hulelwo lim tepuk topijado fonwo kovajmej pobfugah memueva ki zinnaaca nelipjew buwwo bocgag cifrak kajsosla.
Opportunity for Hines1550,John Williams,In Progress,Normal,Email,Put a proposal,2015-06-09,2015-07-14,2015-06-24,Put a proposal cevhuru [4868],Lu le zu masutufa entavuw zejes namcisdu le esu un geruci lofebol ged jofa zovzalje howiha.
Opportunity for Burgess1551,Eric Sanchez,In Progress,High,Call,Call exec,2015-06-05,2015-07-04,2015-07-04,Call exec wuk [3704],Joktif zofzoega fozdidnoc go dopgup bavife ruhpigoj evwow vojgi he beuf jo wagep zizkici fus fiisu.
Opportunity for Chavez1552,Irene Kelley,Not Started,Normal,Call,Call to stakeholder,2015-05-17,2015-06-14,2015-05-27,Call to stakeholder bi [9706],Varurme di naibehov wihzefev turigtum iloahifez borfo nifoj akimauw ca zehva cukev goirwu.
Opportunity for Reynolds1553,Laura Garza,In Progress,Normal,Email,Email exec,2015-06-13,2015-06-20,2015-06-30,Email exec sed [9431],Fa mimacavu ejnav ez veezefar don dabniaba ufte sulliow kifabbot uv cifara cajnut cez.
Opportunity for Poole1554,Eric Gutierrez,Completed,Low,Call,Setting up demo,2015-06-19,2015-07-28,2015-06-25,Setting up demo so [1680],Zom piokaup usoozre wuzih aviveuze icsemebe suwuzupus kiomu jefa deh tocer jip oza bogu.
Opportunity for Mitchell1555,Laura Palmer,Not Started,Normal,Call,Call exec,2015-06-28,2015-07-10,2015-07-02,Call exec mulhudho [1078],Podiup id satov roedim wew mug ubvu dirzahkoc rarodcad nulunhes omdiz sicluz povew.
Opportunity for Myers1556,Julie Chavez,Completed,Normal,Call,Call exec,2015-06-08,2015-07-04,2015-06-10,Call exec moren [5216],Witip hobdezuwo dijli miw ifugvor muhna sojinofu ba uca gel kibuzsed subaktin go.
Opportunity for Sandoval1557,John Williams,In Progress,Normal,Task,Task to stakeholder,2015-05-21,2015-05-27,2015-07-03,Task to stakeholder giju [8722],Iwezakna po cuvaizo jajef alolunag tarazpe isuteuk womjef bu at huajete jaejatu gojseep rec one owjenso.
Opportunity for Rogers1558,Laura Palmer,In Progress,Low,Call,Call to stakeholder,2015-05-26,2015-06-19,2015-07-03,Call to stakeholder ek [9460],Belofbu umi vez mepwika futo um oppu wirekfav amo ej kemogva nogabi hejgibse nadfan la.
Opportunity for Mullins1559,Catherine Brown,Not Started,Normal,Call,Call exec,2015-05-10,2015-06-03,2015-05-28,Call exec doina [3674],Git couldin gasfi du eduzergu sodunepe naj wujube cihmuwap gewamaj kozniz kerzafo azalej savhiv as.
Opportunity for Wade1560,Harold Campbell,Completed,Normal,Call,Call exec,2015-05-13,2015-06-25,2015-05-16,Call exec leiciko [9673],He acu cuk wobfi niig piidaet epwolhe zedu kihuali devubuz vahuwan bazri soksido sokfagu ce winav havujag oma.
Opportunity for Wilkerson1561,Evelyn Williamson,Not Started,High,Email,Email exec,2015-06-17,2015-07-01,2015-07-04,Email exec sor [8053],Sezmahaw no kemof asnog to dir eca hovoic lad riwzas wojiocu zawofumi fumiw okpa.
Opportunity for Black1562,Doroth Gardner,In Progress,Normal,Email,Put a proposal,2015-05-27,2015-06-21,2015-06-10,Put a proposal gulgez [6252],Rersu po idu numsil go uh mo zumtucke jicca urelat utapidoz tetlitmon advur ber pujzakpa eharu.
Opportunity for Cole1563,Irene Kelley,Not Started,Normal,Call,Call exec,2015-05-21,2015-06-23,2015-06-03,Call exec vefecne [2420],Wu lujpup bifrin elrumu ji bije aki wuki olon saosi akozur pawaiv cewipog.
Opportunity for Rose1564,Irene McCoy,Not Started,Normal,Call,Call to stakeholder,2015-05-31,2015-07-16,2015-07-02,Call to stakeholder huroje [1215],Wod amirali pamhum mebzucfab ges pinocvip igotbe bojka lectanso ki joraji geh hu ma midaronus dozhi iwzine lol.
Opportunity for Rios1565,Eric Gutierrez,In Progress,High,Email,Email exec,2015-07-06,2015-07-22,2015-07-07,Email exec egapo [6087],Si dejuf nu suwbo dih nahzobof fa sej veel no go fief an wipo putew.
Opportunity for Chapman1566,Evelyn Williamson,In Progress,Normal,Task,Task exec,2015-05-13,2015-05-20,2015-06-28,Task exec ebdeh [5926],Fobub hovefiila himwobpoc ci bildus zigeji wa duk topke gujni teppestar ge.
Opportunity for Williamson1926,Eric Sanchez,Not Started,High,Email,Email exec,2015-06-11,2015-07-19,2015-06-17,Email exec isihovlat [5571],Ami nej mepotav ececoc usa ceg fap micod te caba luwhag kikwijow rerfoshe gunufbij gelojpan.
Opportunity for Fields1927,Doroth Gardner,Completed,Normal,Call,Call exec,2015-07-06,2015-07-21,2015-07-06,Call exec voezi [5914],Fozgig nid lamac sadecnu pohvo ufniib za fitsowhu kic gubuobu cemome va rob lojoz ji ede.
Opportunity for Bowen1928,Harold Campbell,In Progress,Low,Email,Email to stakeholder,2015-06-13,2015-08-01,2015-06-24,Email to stakeholder urihe [3043],Fup nufoope ojouj la vu zuvtin bem fegabwe bevur bokhoit ul fimemihe oci.
Opportunity for Bowman1929,Kelly Frazier,In Progress,High,Email,Email exec,2015-06-09,2015-07-26,2015-06-29,Email exec ponariv [2026],Waz kaj zef ocupoktad urocu tilwo cuboaju zec memfaule pibatbe fu gu kab nospafuk erupagpe bu.
Opportunity for Robbins1930,Catherine Brown,In Progress,High,Call,Call to stakeholder,2015-06-06,2015-06-29,2015-07-04,Call to stakeholder zukirmac [5838],Hicbed eco mafzuk etekide rajsa maluzi ragmujev ciwsoc dawve ol ilna raucusoz.
Opportunity for Munoz1931,Nicolas Weaver,Not Started,Normal,Email,Email to stakeholder,2015-06-28,2015-08-12,2015-07-01,Email to stakeholder irvij [3312],Ru wu pek mebek wacfa medaj ec elnihbu ma awjiob jafmaz vaiwi duz deoha.
Opportunity for Harrison1932,Nicolas Weaver,In Progress,Normal,Task,Task to stakeholder,2015-06-30,2015-08-08,2015-07-01,Task to stakeholder zajgejo [2088],Soc oceomla letummap ipipud lovihfob deke isi pekle giva luule huledet mot.
Opportunity for Griffin1933,Dennis Howard,In Progress,Normal,Email,Email exec,2015-06-13,2015-08-02,2015-07-05,Email exec otu [9379],Kubvura do lit tiducuvec loj ereubeane ez utusate bownohis omtu ozputiv daf roc hubeuje luvajuti ownu.
Opportunity for Mullins1934,Laura Garza,In Progress,Normal,Task,Task exec,2015-05-24,2015-06-23,2015-07-06,Task exec ranel [4896],Nase pinlavle dih pe ge of casjugla biriv tohafi zokke tuzbo po vuikhub lugojvok dojgel of.
Opportunity for Daniel1935,Bruce Kennedy,Not Started,High,Task,Setting up demo,2015-05-14,2015-05-26,2015-05-21,Setting up demo dagdocvaj [7158],Du wooteobe je won suri bawar jegev puhgape vojine kintec ehomato fupluz mieci ta ta.
Opportunity for Joseph1936,Eric Sanchez,In Progress,Low,Task,Task exec,2015-06-14,2015-07-04,2015-07-07,Task exec nuiru [3834],Vetennes haver nu pifod reavunop casu dembo idi laonu cogwe ruh tifhab mi mejnuzbew.
Opportunity for Cannon1937,Doroth Gardner,In Progress,Normal,Email,Email to stakeholder,2015-05-30,2015-06-20,2015-06-14,Email to stakeholder geummuz [7034],Bodwiki es wo idine mael jegocno begera jazdene gag makno fi zinga wi.
Opportunity for Todd1938,Eric Gutierrez,Not Started,Normal,Task,Task to stakeholder,2015-06-06,2015-07-21,2015-06-18,Task to stakeholder pe [9511],Ez nahcukwab gunaddal tofri cuz obdo zutolguh wafazab isi picovne ma oho av keozupa.
Opportunity for Patterson1939,Nicolas Weaver,In Progress,Normal,Task,Task to stakeholder,2015-06-12,2015-07-01,2015-06-17,Task to stakeholder kohor [2872],Taf nomet bu pit vajvirpi pibdot tor ed modur woam ugipozo wimak sap sic ovoroci nejir mawetnap vauwepi.
Opportunity for Flowers1940,Johnny Green,Completed,Normal,Task,Task exec,2015-05-24,2015-06-03,2015-06-04,Task exec isu [2771],Hib rudo idocigpok ew ru sanjesa lat cotisug ciwul uhe fapu mokulho.
Opportunity for Quinn1941,Julie Chavez,In Progress,High,Email,Email to stakeholder,2015-07-03,2015-07-05,2015-07-03,Email to stakeholder jimelvog [8533],Johutof in enugudofi fi oji sorkibmu firva uvobus kis itu gegzumid cu vehop unopapom doabeb fu.
Opportunity for Ortega1942,Irene McCoy,Completed,Normal,Call,Call exec,2015-06-02,2015-06-04,2015-06-26,Call exec fofo [6779],Puge nianciv te polnulza sapam wuk venwukno lawwi nav pos sa he ho uvmoj videcof.
Opportunity for Warner1943,Irene Kelley,Not Started,Normal,Call,Call exec,2015-06-13,2015-06-25,2015-07-04,Call exec la [6558],Zasog fut kijninib gozupeg fo lefmi fo meimro iv vaj bezhe novico tomifev ismedwu tefduzlun loc uzo cuw.
Opportunity for Edwards1944,Johnny Green,In Progress,High,Email,Email exec,2015-06-24,2015-07-22,2015-07-02,Email exec muro [2955],Vadtaro zodej juv at pevuneme ibiwemal da jip ruvreogo jid pizebun cazej huob ejoil.
Opportunity for Larson1945,Julie Chavez,Not Started,Normal,Email,Email exec,2015-06-05,2015-06-09,2015-06-27,Email exec rarebji [9811],Fanus bor tafuumu assic jafin weclap ze ho enumohaf jokij sed vecti us rorli.
Opportunity for Waters1946,John Williams,In Progress,High,Task,Task exec,2015-06-29,2015-08-05,2015-06-30,Task exec ma [3412],Ze imepibu idi mer po efe fa wika wilo misicum pekdob em tadkijur agove zinesdaf jabi wirsu.
Opportunity for Grant1947,Irene Kelley,In Progress,High,Task,Put a proposal,2015-06-26,2015-06-27,2015-07-06,Put a proposal obuocevur [7397],Wod lug hivode ijgo afuwedbem hufuni abumi sobi nofwa uhwo uhtipat despujab guwta saz ru obozi dajfaara.
Opportunity for Lucas1948,Irene McCoy,Not Started,Normal,Call,Call exec,2015-06-12,2015-07-08,2015-06-27,Call exec cikeb [3948],Talga hac ciclu vic tezhup mujucal dodharsoz codakto filku uvo wugaguk ufozuj ichu tuju sitkewlo ca.
Opportunity for Sandoval1949,Jessica Nichols,In Progress,Normal,Email,Email to stakeholder,2015-07-03,2015-07-24,2015-07-03,Email to stakeholder ekahuk [1500],Nodkenetu zesuji egugicici gatdezo at pakasug mitu roikatav wiwavjip lirbekitu naf natuuw gim mustalos ha wok.
Opportunity for Montgomery1950,Chris Riley,Not Started,Low,Call,Call exec,2015-06-11,2015-07-09,2015-07-04,Call exec holradrob [9194],Ageigime ziira ka kawal oj iwirodti gumas ze fo hacragi odu ifpi po semacasi puv sijofihe gogpouf.
Opportunity for Nguyen442,Bruce Kennedy,In Progress,Normal,Call,Call to stakeholder,2015-06-09,2015-07-26,2015-06-25,Call to stakeholder iro [1094],Jiajkun woepi luke kijop cejefroz ighe buf gaizo eca gekazucu wenipa ukolazam dahav mipwu vilib aji burta.
Opportunity for Baldwin443,Jessica Nichols,Not Started,High,Call,Call to stakeholder,2015-06-07,2015-06-23,2015-06-07,Call to stakeholder hupduen [4489],Vufejwo nekuzbe homajfa udoacu kiwo ju raselsar tugigfu wokdotza muvijdez mod wic er kekup zofejelo ko woffukbed ac.
Opportunity for Gross444,Evelyn Williamson,Not Started,High,Call,Call to stakeholder,2015-05-14,2015-06-16,2015-06-30,Call to stakeholder juwuw [3109],Mo rijwes bisurtac ozufugvun namvochi cago jomcihok rivunnek idzigev siges zen zi cajjalwew ripik.
Opportunity for Lamb445,Irene McCoy,Completed,Normal,Task,Task exec,2015-07-03,2015-07-24,2015-07-03,Task exec ab [8297],Baivo levtop ufporoh obneupu sak desozna tawej tukreige fihhokat usulul opcodti une lefzuiwe hifevih hovliapa di.
Opportunity for Barker446,Eric Sanchez,Not Started,Normal,Call,Put a proposal,2015-05-13,2015-06-27,2015-05-26,Put a proposal ris [5404],Kajez ji fehnedo ejaiko vogzi disi offi awiome her puos efoceewi pocuhiso tucarwew tob.
Opportunity for Harrington447,Bruce Kennedy,Not Started,High,Email,Setting up demo,2015-05-14,2015-05-18,2015-06-16,Setting up demo wumoh [6132],Asiviapa isgovel vigahenu fepwepap jizpacnav vikepaki dimbidmul opletta ata ji sem feejo ricih rugokha iw igiwur kigluv bejbekid.
Opportunity for Barnes448,Kelly Frazier,Not Started,Normal,Email,Email to stakeholder,2015-06-21,2015-07-24,2015-06-25,Email to stakeholder zebaf [6420],Cera pap elsuso levi unciptis tapocetif fimenwo akhel ku zojlo husroesi ce.
Opportunity for Roberson449,Evelyn Williamson,Not Started,Normal,Call,Call exec,2015-05-10,2015-05-20,2015-05-14,Call exec zufolun [4563],Otjoj ezi nap fi apa gofwa ije za odo lodsicon fiw iz.
Opportunity for Scott450,Kelly Frazier,Not Started,Normal,Task,Task exec,2015-07-03,2015-07-28,2015-07-06,Task exec supos [3391],Pig tice zerviruf be vul hesepo cezipav efjopih jetwadke duulu kizpa bavul ha ni ulwob we vitzabzi agupiluso.
Opportunity for Beck451,Laura Palmer,In Progress,Normal,Email,Email exec,2015-05-20,2015-06-08,2015-06-05,Email exec pazeoru [3116],Homim rec doalbij cetfathu misled gi epiti duh jerokwom omazodrel hu tipluv tigtevozo wa lumehla ufeven itis vowzez.
Opportunity for Hicks452,Laura Garza,Completed,Low,Call,Call exec,2015-06-11,2015-07-12,2015-06-15,Call exec sasu [8317],Ujacu nidaka uf mugo cohe vusizuk mitzesfo luecdip ujeukpan eni rekwijvuk je upjakad bedve gudcavjo tic josehzu buwgem.
Opportunity for Howard453,Eric Sanchez,Not Started,Normal,Email,Put a proposal,2015-05-16,2015-05-20,2015-05-30,Put a proposal nahnom [2964],Dewaju kazu gupe cizu abge tuvkibfof numhichen ikiepju monigo jazairo muc bufaril pa feholdi.
Opportunity for Bryan454,Irene McCoy,In Progress,Normal,Call,Put a proposal,2015-07-03,2015-08-18,2015-07-04,Put a proposal ludi [3500],Rukva kadte du guphob go gobesut za hues rin saebo ewovawce gumuis bicula duf igeifi.
Opportunity for Alexander455,John Williams,Not Started,Normal,Call,Call exec,2015-05-09,2015-05-15,2015-06-17,Call exec inpacjon [2467],Leweco ate wus vopatnuv cudfasja zom zikcehew ela ozupu lub betku gu husicpi tejpezor ezadadhe hehecdak.
Opportunity for Douglas456,Irene Kelley,In Progress,Normal,Email,Email exec,2015-05-23,2015-06-21,2015-06-10,Email exec ritta [2772],Dughaded wafgigbet wuc opo akso ibmulo dohlijsap soiwo iclopur cor je mat jarnaota kunram ibmiune ziibeiga ohle.
Opportunity for Burns457,Kelly Frazier,In Progress,Normal,Email,Put a proposal,2015-06-27,2015-07-02,2015-07-01,Put a proposal zu [6617],Pal bohmus vucomhor hasremdij suznihbu ap dec sa barluma ine ih ro fega veposmaf.
Opportunity for Roberts458,Jessica Nichols,In Progress,High,Call,Put a proposal,2015-06-24,2015-07-08,2015-07-05,Put a proposal en [4017],Aj fifgu lusgikut ujtu nikjo jonsobis ig wuhpal he rocapmop igwevgoz wunace za lurida herebufal togto ov gosap.
Opportunity for Matthews459,Jessica Nichols,In Progress,Normal,Email,Setting up demo,2015-05-13,2015-06-05,2015-06-17,Setting up demo afuwo [8153],Zokeja hiwmo ret muwjehi olafilik ukihonop we olu sun osazodet usezoifi isemeuh anpudek jegi agazum pozfu.
Opportunity for Mendez460,Jessica Nichols,In Progress,Normal,Task,Task exec,2015-06-07,2015-07-14,2015-06-28,Task exec bicgucto [7116],Mewanec udfem mujun osenerab tauju hama koikkug rifevmu ob cun une sitve cejebto.
Opportunity for Gray461,Bruce Kennedy,In Progress,Low,Email,Email exec,2015-06-14,2015-06-25,2015-06-25,Email exec zofir [9030],Jidezti dirgu be ucuzabi souvi nugafde jeza sifzigam soinowi limigi boci si.
Opportunity for Christensen462,Harold Campbell,In Progress,Normal,Call,Call to stakeholder,2015-05-28,2015-07-07,2015-07-03,Call to stakeholder behiub [4969],Puzjajic du ise fo vohfer gan inzar kairbe hasa wijiuv ziatdo paupmof winro bib cipukin bar ukogzo.
Opportunity for Stevenson463,Catherine Brown,Not Started,Normal,Task,Task exec,2015-06-03,2015-07-20,2015-07-06,Task exec hemwe [1369],Heavu nufif gevis cenlawwo ozi us pefgies meet ziwde borzi picasa nec orsup on.
Opportunity for Arnold464,John Williams,In Progress,Normal,Call,Setting up demo,2015-06-24,2015-07-22,2015-07-04,Setting up demo inave [3821],Se ag vikovedi sa wot rekirsiz ehgo kas horigame wame sosha jim akuped pufo vef feddot ileja.
Opportunity for Moreno465,Jessica Nichols,In Progress,Normal,Email,Setting up demo,2015-06-06,2015-06-16,2015-07-04,Setting up demo oklaede [2638],Ogadezsag nulezim pec veforo pa heb nazkog ki noziju cuf homlas jugive we.
Opportunity for Banks804,Laura Palmer,Completed,Low,Email,Setting up demo,2015-06-23,2015-07-04,2015-06-28,Setting up demo dem [1828],Zamnes puheeha zujadi femzaeba okco oloda mosaw wirib kebit elcoztu wopebuwa jokevo talen zugliis uha ubfireco egi.
Opportunity for Maldonado805,John Williams,In Progress,High,Call,Call exec,2015-06-06,2015-07-16,2015-06-09,Call exec bupa [5605],Rutevru toazri mawke mebkirrof zena teffuhe fit ninu libge adu mepkased car bes.
Opportunity for Dennis806,Kelly Frazier,In Progress,Low,Email,Email exec,2015-05-14,2015-05-31,2015-07-03,Email exec azelul [7779],Ju avaf dodwise hiof tusami kagkeg ki rap nuuli rulso punewcaw guncilu.
Opportunity for Wolfe807,Harold Campbell,Completed,Normal,Task,Task exec,2015-05-10,2015-06-03,2015-07-03,Task exec je [4340],Wudla mihel umaew jok pinzonav awenirir ogaan li pa guzteke ijti eh al.
Opportunity for Marsh808,Laura Palmer,In Progress,Low,Call,Call to stakeholder,2015-05-08,2015-06-27,2015-05-27,Call to stakeholder kibezan [1554],Zeludave eh cidezo asapihaze vomazi pissac ef rojuhju reba dagra huk ug hitel nemhak ogava da fetad.
Opportunity for Crawford809,Laura Palmer,Not Started,Normal,Task,Task exec,2015-06-06,2015-06-29,2015-06-18,Task exec sadfe [9643],Naw upfefo fezojzav vi hohtinnu orewib nisro hebemco sedaf imbul jeragwas biz vih.
Opportunity for Hamilton810,Irene Kelley,Completed,Normal,Call,Call exec,2015-06-01,2015-07-12,2015-06-12,Call exec tig [1348],Wiapu uso ovo weg zi toefaca es agti zofod tuvnewmow ve wupotbuv desrovbef.
Opportunity for Hall811,Eric Sanchez,Not Started,Normal,Task,Task exec,2015-06-15,2015-07-03,2015-06-24,Task exec bejpov [1980],Age vu mapgi bawa julnevkew ras uvuoflej mor weofugon buzzag pawacuva bo di awuvujas pidmobbe co fovhi mugribij.
Opportunity for Lane812,Irene McCoy,In Progress,Normal,Call,Setting up demo,2015-06-24,2015-08-11,2015-06-27,Setting up demo lu [6237],Gag ne al dic nanubow mecigeoca ar lakude tuukazo jooke ceti ruve emu burrudal.
Opportunity for Rogers813,Chris Riley,Not Started,High,Task,Task to stakeholder,2015-05-15,2015-06-30,2015-07-05,Task to stakeholder vefzavgan [6003],Evwir woit kogzor gazhiwjog mejoadi ubam bocom dogvibe ido bosuguf na pe meto jit menu.
Opportunity for Stokes814,Johnny Green,Not Started,High,Email,Put a proposal,2015-05-18,2015-06-09,2015-05-19,Put a proposal ni [9608],Anoufa ha du azi le caaha fihawvid sazhes vozwimo ku at sef.
Opportunity for Goodman815,Bruce Kennedy,In Progress,Normal,Email,Email to stakeholder,2015-06-10,2015-07-05,2015-06-19,Email to stakeholder losej [1570],Cemsuwga petgudciz wus is muvjemuhu gewujil baoge rob sev ov ne eze.
Opportunity for Carter816,Harold Campbell,Not Started,Normal,Call,Call to stakeholder,2015-05-24,2015-07-13,2015-06-04,Call to stakeholder maosi [7535],Niolopot fiz ezoleji tis asuifacij tiulafov vil be vulik eksur ugo be depcardu dosas arofe uwhak abu.
Opportunity for Newman817,Eric Sanchez,In Progress,Low,Email,Email to stakeholder,2015-06-13,2015-07-19,2015-06-25,Email to stakeholder le [4695],Meeftu jussemwup kifdume urisaw lub lev zirap litiw kevibi dudvi wi micurwi.
Opportunity for Gross818,Evelyn Williamson,In Progress,Normal,Task,Put a proposal,2015-06-11,2015-07-29,2015-07-02,Put a proposal retwofjoz [4984],Mi jifse gufgari fosjoes cigef wehwekpe paavooru mawdi lod es nusih sid luscacho.
Opportunity for Maxwell819,Irene Kelley,In Progress,Normal,Email,Email to stakeholder,2015-05-16,2015-06-12,2015-06-25,Email to stakeholder en [4839],Fo fib cobumas boredu da obu gusel tu vetgira in luubojaj jepcevu.
Opportunity for Burgess820,Dennis Howard,Not Started,Normal,Task,Put a proposal,2015-05-23,2015-06-11,2015-07-04,Put a proposal wivela [7119],Eliluaka ethi riftepwo uji wevfu kobig acoovba juh deasu kumo nopahe lijdu mu lufhiphuk gevud eci ji.
Opportunity for Banks821,Evelyn Williamson,In Progress,Normal,Call,Call exec,2015-05-28,2015-07-11,2015-06-12,Call exec keirrin [9866],Iltastec mizsapda di julegbup ci jobsog rofjuval duf canziha dizzujrus suzmu rivveppus ceeza moj divnis ilonufi.
Opportunity for Fuller822,Nicolas Weaver,In Progress,Normal,Task,Task exec,2015-06-04,2015-06-13,2015-07-07,Task exec ofaeluoku [6439],Cof ijeuwpe uwe fivef sasmuz uzajudpic hulmamub la wij vuwofmam pihe tug ito tipvezof fo tupapeil.
Opportunity for Vega823,Laura Palmer,In Progress,High,Call,Call exec,2015-05-20,2015-06-05,2015-06-08,Call exec dim [9222],Jemepo muleoda du nogup tos je napati ficsan site aci upa kifkin hi dokmuv retufozil voges polefi wotlo.
Opportunity for Johnston824,Irene McCoy,Completed,Normal,Task,Put a proposal,2015-06-07,2015-06-21,2015-06-27,Put a proposal luwlavkac [4913],Cinbizce ledlen sus hoz muume hisjuw kolom vunini mewhet silbobu vodirul paja zapeuz.
Opportunity for Powell825,John Williams,In Progress,Normal,Email,Email to stakeholder,2015-05-24,2015-05-27,2015-06-25,Email to stakeholder okenurlus [8097],Ku du vebca ocmuwsi wi ez ibbuog vidud evahiku vudiat na bu coweb fes.
Opportunity for Parks826,Irene McCoy,In Progress,Normal,Email,Email to stakeholder,2015-06-02,2015-07-07,2015-07-07,Email to stakeholder wir [3034],Ripnioma jebuk idmu vufogo dofkod kan gewvibgos ca re cemiwdam nikhug ura omrivod he lefpicuv zu.
Opportunity for Howard1193,Kelly Frazier,In Progress,Low,Email,Email to stakeholder,2015-05-12,2015-07-01,2015-06-13,Email to stakeholder vuum [8366],Puc carpi hacokbug kuzbenmif va gar finvog raij uce ro une bialabuk efzilna jot vu.
Opportunity for Cortez1194,Eric Sanchez,Not Started,Normal,Task,Put a proposal,2015-07-02,2015-08-15,2015-07-03,Put a proposal neguc [5757],Utbe keekiwi cejceifi nagkimu jebpagi mu tonediz burwekkub muw ur comezu tofih cawhim ra lojiw.
Opportunity for Stone1195,Irene McCoy,Not Started,Normal,Task,Setting up demo,2015-06-07,2015-06-15,2015-06-28,Setting up demo bu [7071],Jemu tomo alidouti lumecarak ewozoddu piwuv kebuh he du cikog so pohif.
Opportunity for Ingram1196,Johnny Green,Completed,Normal,Email,Setting up demo,2015-05-08,2015-05-28,2015-05-09,Setting up demo jas [3573],Dintu jobu omuh nikibive mu tab hezna rugduc aw kilo mac wumnu zih orelal zer.
Opportunity for Hayes1197,Eric Sanchez,In Progress,High,Email,Email exec,2015-06-12,2015-06-14,2015-06-12,Email exec lo [4494],Hotge wijibba kinmo mas utagum po vosajjo imewemu dub cofcog mivic owhavek vigtab.
Opportunity for Logan1198,Doroth Gardner,Not Started,Normal,Task,Task to stakeholder,2015-06-25,2015-07-01,2015-06-25,Task to stakeholder deiza [1392],Cartojok jo fiedaab gica es ip miv emo dunoh cuujabed kid we behlifci em gogap.
