WhatId,OwnerId,CreatedDate,LastModifiedDate,ActivityDate,Subject,DurationInMinutes
Opportunity for Lamb1584,Julie Chavez,2015-07-02,2015-07-02,2015-07-18,Meeting with stakeholders nosuf [6046],35
Opportunity for George1585,Johnny Green,2015-05-09,2015-06-29,2015-05-27,Demo with execs weup [7875],94
Opportunity for Robinson1951,Johnny Green,2015-05-08,2015-05-13,2015-05-11,Meeting with stakeholders wisupve [8487],60
Opportunity for Bates1952,Chris Riley,2015-05-16,2015-06-28,2015-05-25,Meeting with stakeholders ni [4683],20
Opportunity for Johnston1953,Irene McCoy,2015-05-21,2015-05-31,2015-07-01,Demo with execs wos [2089],85
Opportunity for Webster1954,Julie Chavez,2015-07-04,2015-07-05,2015-07-09,Demo with execs kizophi [7000],47
Opportunity for Cobb1955,Kelly Frazier,2015-07-03,2015-07-04,2015-07-14,Meeting with stakeholders nahajoc [5932],64
Opportunity for Wilkerson1956,Evelyn Williamson,2015-05-18,2015-06-23,2015-06-28,Meeting with stakeholders febuz [9550],114
Opportunity for Harper1957,John Williams,2015-05-26,2015-07-05,2015-06-18,Meeting with stakeholders wosarione [9633],92
Opportunity for Lambert1958,Chris Riley,2015-05-31,2015-07-02,2015-06-08,Demo with execs up [8338],30
Opportunity for Stone1959,Kelly Frazier,2015-06-29,2015-06-29,2015-07-20,Meeting with stakeholders ropzubab [2937],25
Opportunity for Bush1960,Irene McCoy,2015-06-03,2015-07-02,2015-06-14,Meeting with stakeholders bopnani [2728],44
Opportunity for Pittman1961,Harold Campbell,2015-06-17,2015-06-24,2015-07-09,Demo with execs gi [6206],65
Opportunity for Bishop1962,Chris Riley,2015-05-09,2015-06-12,2015-05-28,Meeting with stakeholders tim [8697],55
Opportunity for Murphy1963,Eric Sanchez,2015-07-07,2015-07-07,2015-08-02,Meeting with stakeholders jet [6697],56
Opportunity for Marsh1964,Irene Kelley,2015-06-28,2015-07-01,2015-07-08,Demo with execs runzewu [9801],97
Opportunity for Porter1965,John Williams,2015-06-25,2015-06-29,2015-08-07,Meeting with stakeholders ekgoltoj [2993],74
Opportunity for Carson1966,Dennis Howard,2015-06-24,2015-06-30,2015-08-10,Meeting with stakeholders he [1242],102
Opportunity for Wilkerson1967,Johnny Green,2015-06-27,2015-07-05,2015-07-19,Demo with execs fodo [6139],109
Opportunity for Bowen1968,Harold Campbell,2015-05-31,2015-06-12,2015-06-28,Demo with execs obu [9889],63
Opportunity for Baker1969,Dennis Howard,2015-05-21,2015-05-31,2015-06-02,Demo with execs uzkaara [2523],45
Opportunity for Clayton1970,Bruce Kennedy,2015-06-09,2015-07-05,2015-06-10,Meeting with stakeholders wuv [7413],26
Opportunity for Nguyen1971,Kelly Frazier,2015-05-18,2015-07-02,2015-06-05,Demo with execs ju [4668],104
Opportunity for Poole1972,Jessica Nichols,2015-05-30,2015-06-24,2015-06-04,Demo with execs ovipilow [5943],88
Opportunity for Malone1973,Bruce Kennedy,2015-06-04,2015-07-03,2015-06-13,Meeting with stakeholders omrodmof [4695],54
Opportunity for Glover1974,Johnny Green,2015-05-17,2015-06-08,2015-07-01,Demo with execs ujeujilaz [6633],70
Opportunity for Santiago1975,John Williams,2015-06-05,2015-07-05,2015-06-19,Meeting with stakeholders vu [4650],34
Opportunity for Flowers466,Johnny Green,2015-06-06,2015-06-16,2015-07-22,Meeting with stakeholders em [1326],76
Opportunity for Carpenter467,Laura Garza,2015-06-12,2015-07-05,2015-07-26,Demo with execs kasra [8248],76
Opportunity for Clayton468,Laura Palmer,2015-06-28,2015-06-30,2015-07-15,Demo with execs ta [3547],74
Opportunity for Castro469,Chris Riley,2015-06-02,2015-06-28,2015-07-16,Demo with execs heresna [6262],49
Opportunity for Tucker470,Eric Sanchez,2015-06-05,2015-06-06,2015-07-21,Demo with execs ogazen [6458],19
Opportunity for Horton471,Kelly Frazier,2015-06-11,2015-06-17,2015-07-31,Demo with execs gutfeeve [7722],71
Opportunity for Norman472,Dennis Howard,2015-05-08,2015-05-27,2015-06-05,Meeting with stakeholders div [1758],95
Opportunity for Burns473,Irene McCoy,2015-07-04,2015-07-04,2015-08-08,Demo with execs cud [3533],113
Opportunity for Ruiz474,Laura Garza,2015-06-18,2015-06-29,2015-06-21,Demo with execs vewmid [9135],51
Opportunity for Hammond475,Julie Chavez,2015-05-26,2015-06-30,2015-07-15,Meeting with stakeholders lodhuri [4605],73
Opportunity for Harrison476,Eric Gutierrez,2015-06-28,2015-06-28,2015-07-01,Demo with execs wiwu [8469],56
Opportunity for Stokes477,Laura Garza,2015-06-11,2015-06-17,2015-07-26,Demo with execs elare [5864],105
Opportunity for Ferguson478,Eric Gutierrez,2015-05-15,2015-07-02,2015-06-07,Meeting with stakeholders wuzeiw [9987],108
Opportunity for Henry479,Jessica Nichols,2015-06-27,2015-06-28,2015-08-07,Meeting with stakeholders ikhepwaw [6325],85
Opportunity for Shaw480,Johnny Green,2015-06-19,2015-07-05,2015-07-25,Meeting with stakeholders te [8668],111
Opportunity for Mills481,Julie Chavez,2015-06-07,2015-06-20,2015-07-17,Meeting with stakeholders zinam [3032],48
Opportunity for Silva482,Laura Garza,2015-05-25,2015-06-26,2015-06-10,Demo with execs ucna [1009],92
Opportunity for Pittman483,Doroth Gardner,2015-06-18,2015-07-07,2015-07-07,Demo with execs opahil [1088],49
Opportunity for Garner484,Johnny Green,2015-06-29,2015-07-05,2015-07-02,Meeting with stakeholders nibkah [5376],94
Opportunity for Tyler485,Dennis Howard,2015-05-23,2015-06-20,2015-07-02,Meeting with stakeholders wo [3688],22
Opportunity for Washington827,Bruce Kennedy,2015-05-09,2015-06-01,2015-06-15,Meeting with stakeholders conadapo [7867],74
Opportunity for Sanchez828,Nicolas Weaver,2015-05-16,2015-05-24,2015-06-14,Demo with execs gurke [4882],104
Opportunity for Morris829,Irene McCoy,2015-07-04,2015-07-04,2015-07-24,Demo with execs calje [5050],117
Opportunity for Potter830,Jessica Nichols,2015-06-27,2015-06-30,2015-08-10,Meeting with stakeholders bu [2807],58
Opportunity for Singleton831,Jessica Nichols,2015-06-12,2015-06-23,2015-07-27,Demo with execs ti [4220],67
Opportunity for Medina832,Laura Palmer,2015-05-14,2015-05-24,2015-06-13,Meeting with stakeholders ipo [6767],69
Opportunity for Nash833,Kelly Frazier,2015-05-11,2015-06-20,2015-06-07,Demo with execs mohhug [4723],90
Opportunity for Fox834,Catherine Brown,2015-07-02,2015-07-06,2015-07-30,Demo with execs maowo [8181],99
Opportunity for Higgins835,Doroth Gardner,2015-06-19,2015-06-27,2015-07-28,Meeting with stakeholders ewo [7887],103
Opportunity for McGee836,Eric Sanchez,2015-05-28,2015-06-22,2015-07-09,Demo with execs ope [2030],61
Opportunity for Sutton837,Chris Riley,2015-06-18,2015-06-18,2015-07-01,Demo with execs jegnos [7242],66
Opportunity for Cruz838,Catherine Brown,2015-05-10,2015-05-12,2015-05-23,Meeting with stakeholders uvka [1221],64
Opportunity for Greene839,Irene Kelley,2015-07-02,2015-07-06,2015-07-13,Meeting with stakeholders lapi [8794],29
Opportunity for Powers840,Dennis Howard,2015-06-01,2015-06-21,2015-07-18,Meeting with stakeholders hozaha [4892],102
Opportunity for Mendoza841,Jessica Nichols,2015-05-25,2015-06-13,2015-06-03,Demo with execs laub [3489],90
Opportunity for Watkins842,Doroth Gardner,2015-06-12,2015-06-14,2015-06-15,Demo with execs zoopu [1930],101
Opportunity for Thomas843,Evelyn Williamson,2015-05-28,2015-06-03,2015-06-02,Demo with execs sibsidew [9422],41
Opportunity for Singleton844,Irene Kelley,2015-05-24,2015-06-28,2015-07-05,Demo with execs baap [9743],91
Opportunity for Hughes845,Eric Gutierrez,2015-05-23,2015-06-27,2015-06-20,Meeting with stakeholders mij [7950],31
Opportunity for Gomez846,Catherine Brown,2015-06-16,2015-06-22,2015-07-21,Meeting with stakeholders japro [7380],46
Opportunity for Patton847,Bruce Kennedy,2015-05-24,2015-06-26,2015-07-11,Demo with execs boic [2052],67
Opportunity for Graves848,Catherine Brown,2015-05-24,2015-07-01,2015-06-25,Demo with execs hunocuhip [8461],46
Opportunity for Weber1216,Jessica Nichols,2015-06-04,2015-06-12,2015-06-29,Demo with execs gikhofla [2096],35
Opportunity for Bishop1217,Laura Garza,2015-05-24,2015-05-25,2015-06-03,Demo with execs hepetof [9021],95
Opportunity for Carpenter1218,Chris Riley,2015-05-17,2015-05-30,2015-07-03,Meeting with stakeholders tapvet [7559],19
Opportunity for Byrd1219,Irene Kelley,2015-05-25,2015-07-04,2015-07-06,Meeting with stakeholders oracibcuv [4756],36
Opportunity for Greene1220,Irene Kelley,2015-05-14,2015-06-29,2015-06-30,Meeting with stakeholders usa [4431],99
Opportunity for Carpenter1221,Evelyn Williamson,2015-07-04,2015-07-06,2015-07-19,Demo with execs opo [6382],15
Opportunity for Jacobs1222,Laura Garza,2015-07-02,2015-07-03,2015-08-19,Demo with execs wiha [7895],38
Opportunity for Spencer1223,Irene Kelley,2015-07-02,2015-07-06,2015-07-15,Demo with execs hasvuzo [8079],90
Opportunity for Romero1224,Doroth Gardner,2015-06-23,2015-07-05,2015-07-12,Demo with execs biv [8991],113
Opportunity for Hawkins1225,Nicolas Weaver,2015-06-18,2015-06-21,2015-08-07,Meeting with stakeholders lac [7145],43
Opportunity for Bass1226,Catherine Brown,2015-05-22,2015-06-19,2015-07-09,Meeting with stakeholders roh [7847],37
Opportunity for Young1227,Catherine Brown,2015-06-23,2015-07-06,2015-08-04,Demo with execs aguka [3151],48
Opportunity for Paul1228,Jessica Nichols,2015-05-09,2015-06-15,2015-05-29,Meeting with stakeholders tawvusna [9704],72
Opportunity for Higgins1229,Dennis Howard,2015-07-02,2015-07-04,2015-08-04,Demo with execs ge [6494],117
Opportunity for Brown1230,Johnny Green,2015-05-23,2015-06-25,2015-05-25,Demo with execs juknuho [8969],33
Opportunity for Schneider1231,Laura Palmer,2015-06-17,2015-06-29,2015-08-03,Demo with execs fajut [4966],59
Opportunity for Baker1232,John Williams,2015-05-28,2015-06-15,2015-06-29,Meeting with stakeholders guvelu [6383],59
Opportunity for Foster1233,Julie Chavez,2015-07-06,2015-07-06,2015-08-16,Demo with execs zirzen [7214],111
Opportunity for Ball1234,Laura Garza,2015-05-31,2015-06-20,2015-07-19,Meeting with stakeholders depicke [7358],62
Opportunity for Willis1235,John Williams,2015-06-08,2015-07-04,2015-06-09,Demo with execs pagkihu [8883],59
Opportunity for James1236,Irene McCoy,2015-05-27,2015-06-24,2015-07-05,Demo with execs mutsos [6686],49
Opportunity for Bass1237,Eric Sanchez,2015-06-27,2015-07-04,2015-07-08,Demo with execs susjek [9944],113
Opportunity for Hardy1238,Catherine Brown,2015-06-28,2015-07-03,2015-06-30,Demo with execs bidomguj [4716],117
Opportunity for Lawson1239,Julie Chavez,2015-05-22,2015-05-23,2015-06-29,Demo with execs maare [8814],60
Opportunity for Webb1586,Doroth Gardner,2015-05-29,2015-06-11,2015-06-09,Demo with execs ebacokac [5087],48
Opportunity for Barton1587,Doroth Gardner,2015-05-17,2015-05-31,2015-06-30,Meeting with stakeholders lizmi [4414],102
Opportunity for Howard1588,Eric Sanchez,2015-05-25,2015-06-18,2015-06-05,Demo with execs balebciz [8770],81
Opportunity for Norman1589,Dennis Howard,2015-06-09,2015-06-21,2015-06-20,Meeting with stakeholders ifaehevi [7857],60
Opportunity for Olson1590,Doroth Gardner,2015-06-14,2015-07-07,2015-07-13,Meeting with stakeholders bo [2669],34
Opportunity for Turner1591,Bruce Kennedy,2015-06-05,2015-07-06,2015-07-16,Meeting with stakeholders vopumo [1439],43
Opportunity for Hopkins1592,Irene Kelley,2015-05-27,2015-07-05,2015-07-05,Demo with execs miasi [1188],109
Opportunity for Kelley1593,Catherine Brown,2015-06-26,2015-06-26,2015-07-27,Meeting with stakeholders doiboob [3375],39
Opportunity for Wood1594,Laura Palmer,2015-05-13,2015-06-27,2015-06-28,Meeting with stakeholders wojebiw [4263],34
Opportunity for Mathis1595,Evelyn Williamson,2015-06-15,2015-07-06,2015-07-13,Meeting with stakeholders mivne [5594],52
Opportunity for Thomas1596,Laura Palmer,2015-05-21,2015-07-02,2015-07-07,Demo with execs ede [9773],61
Opportunity for Alvarado1597,Dennis Howard,2015-06-25,2015-07-06,2015-07-18,Demo with execs man [9793],84
Opportunity for Simpson1598,Doroth Gardner,2015-06-24,2015-07-07,2015-07-28,Demo with execs vuj [7991],66
Opportunity for Gill1599,Julie Chavez,2015-05-08,2015-05-12,2015-06-20,Meeting with stakeholders ab [1480],21
Opportunity for King1600,Johnny Green,2015-05-22,2015-06-15,2015-06-07,Meeting with stakeholders sihuasi [5757],78
Opportunity for Massey1601,Dennis Howard,2015-06-06,2015-06-09,2015-06-08,Demo with execs edikuzaf [8384],29
Opportunity for Barker1602,Dennis Howard,2015-06-26,2015-07-06,2015-07-28,Demo with execs vi [1855],101
Opportunity for Cunningham1976,Evelyn Williamson,2015-06-13,2015-06-21,2015-07-29,Meeting with stakeholders wapko [6617],116
Opportunity for Atkins1977,Irene Kelley,2015-05-11,2015-06-29,2015-06-28,Meeting with stakeholders zove [8068],64
Opportunity for Ellis1978,Julie Chavez,2015-05-17,2015-06-03,2015-06-30,Demo with execs rilul [5833],52
Opportunity for McLaughlin1979,Laura Garza,2015-06-11,2015-06-16,2015-07-30,Demo with execs cuwavuv [9755],118
Opportunity for Park1980,Bruce Kennedy,2015-05-22,2015-07-07,2015-06-23,Demo with execs rades [6808],80
Opportunity for Rice1981,John Williams,2015-05-20,2015-06-04,2015-06-24,Meeting with stakeholders con [1113],105
Opportunity for White1982,Bruce Kennedy,2015-05-20,2015-06-23,2015-06-21,Meeting with stakeholders mozes [4107],105
Opportunity for Mitchell1983,Jessica Nichols,2015-06-16,2015-06-18,2015-08-05,Demo with execs canhoan [6701],103
Opportunity for Vargas1984,Julie Chavez,2015-06-20,2015-06-25,2015-07-25,Meeting with stakeholders rivapes [5118],25
Opportunity for Mann1985,Eric Gutierrez,2015-06-01,2015-06-02,2015-07-12,Meeting with stakeholders amru [6526],101
Opportunity for Pearson1986,John Williams,2015-05-19,2015-06-29,2015-06-05,Meeting with stakeholders ceuz [2293],38
Opportunity for Norton1987,Kelly Frazier,2015-06-18,2015-06-23,2015-07-21,Meeting with stakeholders linfowi [5509],46
Opportunity for Cook1988,Eric Gutierrez,2015-06-26,2015-07-01,2015-07-23,Demo with execs nu [2834],120
Opportunity for Lucas1989,Irene Kelley,2015-06-27,2015-07-03,2015-07-06,Meeting with stakeholders dupo [4134],79
Opportunity for Gill1990,John Williams,2015-05-28,2015-06-01,2015-06-06,Meeting with stakeholders kob [2069],24
Opportunity for Lane1991,Johnny Green,2015-06-02,2015-06-06,2015-06-26,Meeting with stakeholders neru [6063],117
Opportunity for Paul1992,Irene McCoy,2015-06-20,2015-06-22,2015-06-21,Meeting with stakeholders iv [4506],42
Opportunity for Diaz1993,Johnny Green,2015-05-13,2015-07-01,2015-06-20,Demo with execs ineife [6323],89
Opportunity for Burton1994,Kelly Frazier,2015-06-24,2015-07-03,2015-06-28,Demo with execs mit [2300],15
Opportunity for Reeves1995,Catherine Brown,2015-06-12,2015-07-06,2015-07-20,Meeting with stakeholders usuguthog [9591],83
Opportunity for Oliver1996,Doroth Gardner,2015-05-08,2015-05-28,2015-05-10,Meeting with stakeholders faaj [1332],111
Opportunity for Santiago1997,Harold Campbell,2015-06-26,2015-07-06,2015-07-08,Demo with execs awvujne [6441],43
Opportunity for McCormick1998,Irene Kelley,2015-06-20,2015-06-21,2015-07-20,Demo with execs vu [9261],69
Opportunity for Gibson1999,Julie Chavez,2015-05-11,2015-05-11,2015-05-13,Meeting with stakeholders vi [2809],62
Opportunity for Kelley486,Doroth Gardner,2015-06-01,2015-06-12,2015-07-16,Demo with execs izuzavbel [8975],108
Opportunity for Klein487,Evelyn Williamson,2015-07-04,2015-07-04,2015-08-18,Meeting with stakeholders elipamnu [9197],97
Opportunity for Diaz488,Jessica Nichols,2015-05-24,2015-05-25,2015-05-25,Meeting with stakeholders ci [2491],94
Opportunity for Castro489,Nicolas Weaver,2015-05-17,2015-07-01,2015-07-02,Meeting with stakeholders jezalu [1756],93
Opportunity for Spencer490,Eric Sanchez,2015-05-15,2015-06-29,2015-05-23,Meeting with stakeholders cur [3437],80
Opportunity for Reese491,Laura Palmer,2015-05-12,2015-06-23,2015-05-16,Meeting with stakeholders pukovku [5128],32
Opportunity for Holmes492,Evelyn Williamson,2015-07-07,2015-07-07,2015-07-24,Demo with execs geaw [4820],82
Opportunity for Wilkerson493,Dennis Howard,2015-05-09,2015-06-27,2015-06-07,Demo with execs vaccona [1418],85
Opportunity for Lyons494,Julie Chavez,2015-05-25,2015-06-26,2015-06-20,Demo with execs siresus [3747],116
Opportunity for Blake495,Catherine Brown,2015-05-23,2015-06-01,2015-06-05,Meeting with stakeholders huaka [5300],40
Opportunity for Clark496,Bruce Kennedy,2015-06-15,2015-06-27,2015-08-02,Demo with execs si [4884],104
Opportunity for Smith497,Johnny Green,2015-06-11,2015-06-11,2015-06-13,Meeting with stakeholders majho [3397],67
Opportunity for Silva498,Kelly Frazier,2015-07-05,2015-07-05,2015-08-21,Demo with execs hob [4573],47
Opportunity for Salazar499,Evelyn Williamson,2015-06-17,2015-07-01,2015-07-02,Demo with execs kotum [5547],101
Opportunity for Buchanan500,Kelly Frazier,2015-06-06,2015-06-13,2015-06-23,Meeting with stakeholders hegbovu [5395],116
Opportunity for Curry501,Catherine Brown,2015-05-21,2015-06-26,2015-06-06,Meeting with stakeholders res [6032],91
Opportunity for Reeves502,Evelyn Williamson,2015-07-03,2015-07-06,2015-07-08,Meeting with stakeholders souto [1844],90
Opportunity for Potter503,Jessica Nichols,2015-07-03,2015-07-07,2015-08-02,Meeting with stakeholders arelum [5043],62
Opportunity for Bates504,Eric Gutierrez,2015-05-20,2015-07-06,2015-06-15,Meeting with stakeholders leppi [9512],18
Opportunity for Richardson505,Bruce Kennedy,2015-05-31,2015-07-02,2015-06-22,Meeting with stakeholders nuwsiku [1716],52
Opportunity for Ramirez506,Irene McCoy,2015-05-08,2015-06-19,2015-06-03,Meeting with stakeholders islo [1798],31
Opportunity for Hanson507,Catherine Brown,2015-06-08,2015-06-08,2015-07-26,Meeting with stakeholders dujig [3883],94
Opportunity for Pope508,Jessica Nichols,2015-05-29,2015-06-26,2015-06-15,Demo with execs remesin [5088],17
Opportunity for Freeman849,Doroth Gardner,2015-07-07,2015-07-07,2015-07-17,Meeting with stakeholders bipensam [4075],77
Opportunity for Bishop850,Johnny Green,2015-06-28,2015-07-06,2015-07-02,Demo with execs po [5345],71
Opportunity for Fernandez851,Dennis Howard,2015-05-21,2015-06-21,2015-05-28,Demo with execs koh [1189],37
Opportunity for Gordon852,Julie Chavez,2015-06-12,2015-06-13,2015-07-09,Demo with execs wuhaccu [5668],33
Opportunity for Taylor853,Johnny Green,2015-05-30,2015-06-27,2015-07-15,Demo with execs sajgotet [6556],62
Opportunity for Johnson854,John Williams,2015-06-04,2015-06-20,2015-06-11,Demo with execs nejuc [6509],36
Opportunity for Andrews855,Bruce Kennedy,2015-06-25,2015-06-28,2015-07-19,Demo with execs zopgaji [2120],33
Opportunity for Campbell856,Laura Garza,2015-05-11,2015-05-11,2015-05-31,Meeting with stakeholders wadav [4032],96
Opportunity for Ryan857,Kelly Frazier,2015-05-11,2015-06-04,2015-05-20,Demo with execs afatuavu [7449],20
Opportunity for Lee858,Johnny Green,2015-06-21,2015-06-29,2015-07-23,Demo with execs tuedtet [3055],57
Opportunity for Hicks859,Irene Kelley,2015-05-28,2015-05-30,2015-06-13,Demo with execs go [1235],59
Opportunity for Atkins860,Irene Kelley,2015-07-03,2015-07-06,2015-07-30,Meeting with stakeholders patas [8409],38
Opportunity for Parker861,Eric Sanchez,2015-07-07,2015-07-07,2015-07-13,Meeting with stakeholders co [8756],79
Opportunity for Andrews862,Laura Palmer,2015-06-20,2015-06-27,2015-07-30,Meeting with stakeholders navo [9129],78
Opportunity for Sullivan863,Eric Sanchez,2015-05-22,2015-07-05,2015-07-06,Demo with execs fet [9912],111
Opportunity for Willis864,Chris Riley,2015-06-09,2015-06-12,2015-07-29,Meeting with stakeholders ra [2353],81
Opportunity for Walker865,Evelyn Williamson,2015-06-21,2015-07-07,2015-07-20,Meeting with stakeholders wur [3496],64
Opportunity for Sanders866,Dennis Howard,2015-05-11,2015-07-06,2015-06-05,Meeting with stakeholders catjumof [3018],103
Opportunity for Porter867,Johnny Green,2015-05-16,2015-05-16,2015-06-26,Meeting with stakeholders fo [7514],112
Opportunity for Hughes868,Laura Palmer,2015-05-15,2015-06-21,2015-07-02,Meeting with stakeholders dojipac [3045],49
Opportunity for Hunter869,Laura Palmer,2015-05-21,2015-07-01,2015-06-29,Demo with execs beb [3569],74
Opportunity for Meyer870,Nicolas Weaver,2015-06-18,2015-06-22,2015-07-02,Meeting with stakeholders evamuntut [3624],86
Opportunity for Mills871,Jessica Nichols,2015-05-23,2015-06-29,2015-06-01,Demo with execs togoc [9147],118
Opportunity for Gordon872,Laura Garza,2015-06-01,2015-06-08,2015-06-09,Meeting with stakeholders amaidba [2747],82
Opportunity for Gregory1240,Laura Garza,2015-06-30,2015-07-05,2015-07-11,Demo with execs fogiw [3374],26
Opportunity for Wells1241,Laura Palmer,2015-06-30,2015-07-05,2015-07-05,Meeting with stakeholders ikeova [8933],48
Opportunity for Rogers1242,Kelly Frazier,2015-06-21,2015-06-29,2015-07-25,Meeting with stakeholders torhumaju [2254],61
Opportunity for Newton1243,Irene McCoy,2015-06-10,2015-06-11,2015-07-22,Meeting with stakeholders uwuuka [8522],36
Opportunity for Parks1244,Eric Gutierrez,2015-07-01,2015-07-01,2015-08-07,Demo with execs idomiup [6264],16
Opportunity for White1245,Nicolas Weaver,2015-07-04,2015-07-05,2015-07-25,Demo with execs vopes [7816],100
Opportunity for Hall1246,Dennis Howard,2015-06-14,2015-06-25,2015-07-27,Meeting with stakeholders vid [4125],120
Opportunity for Cross1247,Jessica Nichols,2015-05-19,2015-06-26,2015-06-06,Meeting with stakeholders dop [7204],17
Opportunity for Bennett1248,Eric Sanchez,2015-06-16,2015-06-27,2015-07-05,Meeting with stakeholders tuc [2705],79
Opportunity for Cole1249,Kelly Frazier,2015-05-24,2015-06-17,2015-06-08,Meeting with stakeholders rewuobi [1464],115
Opportunity for Simmons1250,Julie Chavez,2015-06-26,2015-06-30,2015-07-14,Meeting with stakeholders ziip [7049],100
Opportunity for Morton1251,Julie Chavez,2015-07-01,2015-07-01,2015-08-07,Demo with execs nerutkir [4306],116
Opportunity for Swanson1252,Bruce Kennedy,2015-05-30,2015-06-18,2015-07-11,Demo with execs jatbedro [4841],59
Opportunity for Ortega1253,Irene Kelley,2015-05-08,2015-06-25,2015-05-13,Meeting with stakeholders gucril [7638],84
Opportunity for Newton1254,Eric Sanchez,2015-06-10,2015-06-11,2015-06-15,Meeting with stakeholders ek [3021],62
Opportunity for Vega1255,Eric Gutierrez,2015-05-30,2015-05-31,2015-06-20,Demo with execs nuveh [7045],62
Opportunity for Townsend1256,Laura Garza,2015-05-12,2015-05-12,2015-07-01,Meeting with stakeholders onfun [2512],45
Opportunity for Thomas1257,Evelyn Williamson,2015-07-05,2015-07-07,2015-08-16,Meeting with stakeholders parko [7143],108
Opportunity for Delgado1258,Laura Palmer,2015-06-20,2015-07-07,2015-06-21,Meeting with stakeholders ju [2003],39
Opportunity for Harmon1603,Irene McCoy,2015-05-29,2015-05-31,2015-07-15,Meeting with stakeholders gewwana [5094],66
Opportunity for Terry1604,Eric Sanchez,2015-05-14,2015-06-27,2015-05-17,Meeting with stakeholders mab [3110],48
Opportunity for Rios1605,John Williams,2015-06-07,2015-06-20,2015-06-19,Demo with execs dempiw [4850],101
Opportunity for Hardy1606,Eric Sanchez,2015-05-22,2015-05-26,2015-06-25,Meeting with stakeholders mobfazsu [9231],19
Opportunity for Nash1607,Eric Gutierrez,2015-06-17,2015-06-30,2015-06-21,Meeting with stakeholders le [4986],22
Opportunity for Porter1608,Dennis Howard,2015-06-01,2015-07-05,2015-07-18,Meeting with stakeholders ta [1310],16
Opportunity for Rios1609,Bruce Kennedy,2015-06-06,2015-07-04,2015-07-07,Demo with execs pebveapi [1274],109
Opportunity for Berry1610,Eric Gutierrez,2015-05-25,2015-06-26,2015-06-05,Demo with execs emtab [8878],54
Opportunity for Adkins1611,Doroth Gardner,2015-05-30,2015-06-08,2015-06-06,Demo with execs holu [2820],102
Opportunity for Osborne1612,Doroth Gardner,2015-06-25,2015-07-01,2015-08-06,Meeting with stakeholders polsiodo [5000],115
Opportunity for Chandler1613,Eric Sanchez,2015-06-28,2015-07-02,2015-07-08,Demo with execs amu [8979],107
Opportunity for Holland1614,John Williams,2015-06-06,2015-07-06,2015-06-13,Demo with execs zo [6998],91
Opportunity for Warren1615,Harold Campbell,2015-06-12,2015-07-05,2015-06-29,Meeting with stakeholders jutted [8199],25
Opportunity for Nunez1616,Evelyn Williamson,2015-06-22,2015-07-06,2015-08-01,Demo with execs se [1352],43
Opportunity for Hopkins1617,Irene McCoy,2015-06-06,2015-06-29,2015-06-22,Meeting with stakeholders zuudjo [4857],44
Opportunity for Cook1618,Kelly Frazier,2015-07-07,2015-07-07,2015-08-02,Meeting with stakeholders zufoti [2250],70
Opportunity for Guerrero1619,Johnny Green,2015-07-06,2015-07-06,2015-08-01,Meeting with stakeholders pahpip [3284],23
Opportunity for Singleton1620,Laura Palmer,2015-05-30,2015-06-12,2015-06-09,Demo with execs domduwu [8016],20
Opportunity for Wood1621,Laura Garza,2015-05-10,2015-07-06,2015-06-16,Meeting with stakeholders ibolomsag [2116],69
Opportunity for Campbell1622,Irene Kelley,2015-05-11,2015-06-16,2015-06-28,Meeting with stakeholders zenga [7398],115
Opportunity for Stanley1623,Laura Garza,2015-06-29,2015-06-30,2015-07-24,Demo with execs pek [4219],37
Opportunity for Burton1624,Kelly Frazier,2015-05-09,2015-06-18,2015-06-13,Demo with execs lofo [6449],33
Opportunity for Weaver1625,Julie Chavez,2015-05-09,2015-06-22,2015-06-09,Meeting with stakeholders sow [6482],75
Opportunity for Phelps1626,Catherine Brown,2015-06-30,2015-07-04,2015-07-13,Demo with execs bu [1929],52
Opportunity for Jordan1627,Julie Chavez,2015-05-27,2015-06-02,2015-07-08,Demo with execs pa [3211],72
Opportunity for Carr509,Doroth Gardner,2015-06-24,2015-06-24,2015-07-23,Demo with execs de [7949],33
Opportunity for Morrison510,Irene Kelley,2015-06-22,2015-07-02,2015-07-12,Meeting with stakeholders genkacu [9859],104
Opportunity for Elliott511,Laura Garza,2015-05-28,2015-07-06,2015-07-11,Demo with execs jernet [7224],46
Opportunity for Hanson512,Jessica Nichols,2015-05-24,2015-06-17,2015-06-13,Demo with execs ned [6502],82
Opportunity for Wilkerson513,Kelly Frazier,2015-06-25,2015-06-30,2015-07-15,Meeting with stakeholders ibcos [7027],78
Opportunity for Cobb514,Dennis Howard,2015-06-06,2015-06-15,2015-07-20,Demo with execs jolo [6417],63
Opportunity for Barnes515,Irene McCoy,2015-05-10,2015-06-07,2015-05-21,Meeting with stakeholders nalat [1311],71
Opportunity for Maldonado516,Harold Campbell,2015-06-06,2015-06-09,2015-06-08,Meeting with stakeholders dif [8164],79
Opportunity for Collier517,Dennis Howard,2015-06-30,2015-07-05,2015-07-16,Demo with execs riziru [3974],73
Opportunity for Stevens518,Johnny Green,2015-05-29,2015-06-24,2015-07-08,Demo with execs hi [4708],26
Opportunity for Franklin519,Kelly Frazier,2015-06-16,2015-06-22,2015-07-25,Demo with execs ifapik [7773],68
Opportunity for Hansen520,Jessica Nichols,2015-05-27,2015-06-30,2015-06-19,Meeting with stakeholders ucbemi [7600],56
